Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
minor capsid protein [Escherichia coli],Escherichia coli,213,259,99%,2e-68,98.08,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFI6397721.1?report=genbank&log$=prottop&blast_rank=16&RID=UZ861F0W016"",""HFI6397721.1"")"
minor capsid protein [Klebsiella pneumoniae],Klebsiella pneumoniae,213,258,99%,2e-68,98.08,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDS6663964.1?report=genbank&log$=prottop&blast_rank=17&RID=UZ861F0W016"",""MDS6663964.1"")"
hypothetical protein pCY-CTX_067 [Enterobacter cloacae],Enterobacter cloacae,213,213,81%,2e-68,98.08,118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANC59851.1?report=genbank&log$=prottop&blast_rank=18&RID=UZ861F0W016"",""ANC59851.1"")"
hypothetical protein [Salmonella enterica],Salmonella enterica,213,260,99%,2e-68,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EJE6563978.1?report=genbank&log$=prottop&blast_rank=19&RID=UZ861F0W016"",""EJE6563978.1"")"
hypothetical protein [Salmonella enterica],Salmonella enterica,213,260,99%,2e-68,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ENM8846914.1?report=genbank&log$=prottop&blast_rank=20&RID=UZ861F0W016"",""ENM8846914.1"")"
MULTISPECIES: minor capsid protein [Enterobacteriaceae],Enterobacteriaceae,213,258,99%,3e-68,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_032187303.1?report=genbank&log$=prottop&blast_rank=21&RID=UZ861F0W016"",""WP_032187303.1"")"
hypothetical protein [Enterobacter hormaechei],Enterobacter hormaechei,212,212,81%,3e-68,98.08,104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCK7337019.1?report=genbank&log$=prottop&blast_rank=22&RID=UZ861F0W016"",""HCK7337019.1"")"
hypothetical protein [Salmonella enterica subsp. enterica serovar Mikawasima],Salmonella enterica subsp. enterica serovar Mikawasima,213,260,99%,3e-68,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EBW6466284.1?report=genbank&log$=prottop&blast_rank=23&RID=UZ861F0W016"",""EBW6466284.1"")"
minor capsid protein [Enterobacter hormaechei],Enterobacter hormaechei,212,212,81%,4e-68,98.08,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_237770589.1?report=genbank&log$=prottop&blast_rank=24&RID=UZ861F0W016"",""WP_237770589.1"")"
minor capsid protein [Enterobacter hormaechei],Enterobacter hormaechei,212,259,99%,4e-68,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_252061890.1?report=genbank&log$=prottop&blast_rank=25&RID=UZ861F0W016"",""WP_252061890.1"")"
minor capsid protein [Citrobacter freundii],Citrobacter freundii,212,258,99%,4e-68,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_275183478.1?report=genbank&log$=prottop&blast_rank=26&RID=UZ861F0W016"",""WP_275183478.1"")"
hypothetical protein [Salmonella enterica],Salmonella enterica,212,259,99%,5e-68,98.08,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EEN0473905.1?report=genbank&log$=prottop&blast_rank=27&RID=UZ861F0W016"",""EEN0473905.1"")"
hypothetical protein [Salmonella enterica subsp. enterica],Salmonella enterica subsp. enterica,212,259,99%,5e-68,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EBP3777654.1?report=genbank&log$=prottop&blast_rank=28&RID=UZ861F0W016"",""EBP3777654.1"")"
minor capsid protein [Escherichia coli],Escherichia coli,212,258,99%,5e-68,97.12,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_249958647.1?report=genbank&log$=prottop&blast_rank=29&RID=UZ861F0W016"",""WP_249958647.1"")"
hypothetical protein [Salmonella enterica],Salmonella enterica,211,259,99%,7e-68,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAO2888154.1?report=genbank&log$=prottop&blast_rank=30&RID=UZ861F0W016"",""EAO2888154.1"")"
hypothetical protein [Escherichia coli],Escherichia coli,211,259,99%,7e-68,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EKL0077514.1?report=genbank&log$=prottop&blast_rank=31&RID=UZ861F0W016"",""EKL0077514.1"")"
hypothetical protein [Escherichia coli],Escherichia coli,211,257,99%,7e-68,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCJ9476144.1?report=genbank&log$=prottop&blast_rank=32&RID=UZ861F0W016"",""HCJ9476144.1"")"
minor capsid protein [Escherichia coli],Escherichia coli,211,257,99%,8e-68,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_089075238.1?report=genbank&log$=prottop&blast_rank=33&RID=UZ861F0W016"",""WP_089075238.1"")"
hypothetical protein [Salmonella enterica],Salmonella enterica,211,258,99%,9e-68,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EJI2790077.1?report=genbank&log$=prottop&blast_rank=34&RID=UZ861F0W016"",""EJI2790077.1"")"
hypothetical protein [Salmonella enterica],Salmonella enterica,211,258,99%,1e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EKM7994253.1?report=genbank&log$=prottop&blast_rank=35&RID=UZ861F0W016"",""EKM7994253.1"")"
minor capsid protein [Citrobacter portucalensis],Citrobacter portucalensis,211,258,99%,1e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_319868692.1?report=genbank&log$=prottop&blast_rank=36&RID=UZ861F0W016"",""WP_319868692.1"")"
hypothetical protein [Salmonella enterica],Salmonella enterica,211,258,99%,1e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAN2630082.1?report=genbank&log$=prottop&blast_rank=37&RID=UZ861F0W016"",""EAN2630082.1"")"
hypothetical protein [Escherichia coli],Escherichia coli,211,257,99%,1e-67,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDX3079753.1?report=genbank&log$=prottop&blast_rank=38&RID=UZ861F0W016"",""HDX3079753.1"")"
minor capsid protein [Escherichia coli],Escherichia coli,211,257,99%,1e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_420516389.1?report=genbank&log$=prottop&blast_rank=39&RID=UZ861F0W016"",""WP_420516389.1"")"
minor capsid protein [Enterobacter hormaechei],Enterobacter hormaechei,211,258,99%,1e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_220719734.1?report=genbank&log$=prottop&blast_rank=40&RID=UZ861F0W016"",""WP_220719734.1"")"
minor capsid protein [Citrobacter freundii],Citrobacter freundii,211,258,99%,1e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_270939565.1?report=genbank&log$=prottop&blast_rank=41&RID=UZ861F0W016"",""WP_270939565.1"")"
hypothetical protein [Salmonella enterica],Salmonella enterica,211,258,99%,1e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EEI5351537.1?report=genbank&log$=prottop&blast_rank=42&RID=UZ861F0W016"",""EEI5351537.1"")"
minor capsid protein [Escherichia coli],Escherichia coli,211,257,99%,1e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096313639.1?report=genbank&log$=prottop&blast_rank=43&RID=UZ861F0W016"",""WP_096313639.1"")"
minor capsid protein [Enterobacter hormaechei],Enterobacter hormaechei,211,258,99%,1e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EOV2855037.1?report=genbank&log$=prottop&blast_rank=44&RID=UZ861F0W016"",""EOV2855037.1"")"
hypothetical protein [Salmonella enterica subsp. enterica serovar Schwarzengrund],Salmonella enterica subsp. enterica serovar Schwarzengrund,211,258,98%,1e-67,98.06,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDG3818572.1?report=genbank&log$=prottop&blast_rank=45&RID=UZ861F0W016"",""EDG3818572.1"")"
minor capsid protein [Enterobacter hormaechei],Enterobacter hormaechei,211,258,99%,1e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_431622687.1?report=genbank&log$=prottop&blast_rank=46&RID=UZ861F0W016"",""WP_431622687.1"")"
minor capsid protein [Salmonella enterica],Salmonella enterica,211,258,99%,1e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EOC9018494.1?report=genbank&log$=prottop&blast_rank=47&RID=UZ861F0W016"",""EOC9018494.1"")"
minor capsid protein [Citrobacter europaeus],Citrobacter europaeus,211,258,99%,1e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_353417365.1?report=genbank&log$=prottop&blast_rank=48&RID=UZ861F0W016"",""WP_353417365.1"")"
minor capsid protein [Enterobacter hormaechei],Enterobacter hormaechei,211,258,99%,1e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_284992241.1?report=genbank&log$=prottop&blast_rank=49&RID=UZ861F0W016"",""WP_284992241.1"")"
minor capsid protein [Escherichia coli],Escherichia coli,211,257,99%,1e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFL1253995.1?report=genbank&log$=prottop&blast_rank=50&RID=UZ861F0W016"",""HFL1253995.1"")"
minor capsid protein [Enterobacter hormaechei],Enterobacter hormaechei,211,258,99%,2e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_395031251.1?report=genbank&log$=prottop&blast_rank=51&RID=UZ861F0W016"",""WP_395031251.1"")"
hypothetical protein [Salmonella enterica],Salmonella enterica,210,258,99%,2e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EGK9910283.1?report=genbank&log$=prottop&blast_rank=52&RID=UZ861F0W016"",""EGK9910283.1"")"
minor capsid protein [Escherichia coli],Escherichia coli,210,256,99%,2e-67,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_124831680.1?report=genbank&log$=prottop&blast_rank=53&RID=UZ861F0W016"",""WP_124831680.1"")"
hypothetical protein [Salmonella enterica],Salmonella enterica,210,258,99%,2e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EBK5293168.1?report=genbank&log$=prottop&blast_rank=54&RID=UZ861F0W016"",""EBK5293168.1"")"
minor capsid protein [Citrobacter youngae],Citrobacter youngae,210,257,99%,2e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_323528461.1?report=genbank&log$=prottop&blast_rank=55&RID=UZ861F0W016"",""WP_323528461.1"")"
minor capsid protein [Citrobacter braakii],Citrobacter braakii,210,258,99%,3e-67,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_200103157.1?report=genbank&log$=prottop&blast_rank=56&RID=UZ861F0W016"",""WP_200103157.1"")"
MULTISPECIES: minor capsid protein [Enterobacteriaceae],Enterobacteriaceae,210,257,99%,3e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_101700944.1?report=genbank&log$=prottop&blast_rank=57&RID=UZ861F0W016"",""WP_101700944.1"")"
hypothetical protein [Citrobacter youngae],Citrobacter youngae,210,257,99%,3e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEM7419011.1?report=genbank&log$=prottop&blast_rank=58&RID=UZ861F0W016"",""HEM7419011.1"")"
MULTISPECIES: minor capsid protein [Enterobacteriaceae],Enterobacteriaceae,210,255,99%,3e-67,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057102242.1?report=genbank&log$=prottop&blast_rank=59&RID=UZ861F0W016"",""WP_057102242.1"")"
hypothetical protein [Salmonella enterica subsp. enterica serovar Hartford],Salmonella enterica subsp. enterica serovar Hartford,210,257,99%,4e-67,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDW4508688.1?report=genbank&log$=prottop&blast_rank=60&RID=UZ861F0W016"",""EDW4508688.1"")"
MULTISPECIES: minor capsid protein [Enterobacterales],Enterobacterales,210,256,99%,4e-67,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_023316013.1?report=genbank&log$=prottop&blast_rank=61&RID=UZ861F0W016"",""WP_023316013.1"")"
minor capsid protein [Escherichia coli],Escherichia coli,210,256,99%,4e-67,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCZ5381468.1?report=genbank&log$=prottop&blast_rank=62&RID=UZ861F0W016"",""MCZ5381468.1"")"
minor capsid protein [Citrobacter freundii],Citrobacter freundii,210,257,99%,4e-67,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_369562514.1?report=genbank&log$=prottop&blast_rank=63&RID=UZ861F0W016"",""WP_369562514.1"")"
MULTISPECIES: minor capsid protein [Enterobacter cloacae complex],Enterobacter cloacae complex,210,257,99%,4e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_252107792.1?report=genbank&log$=prottop&blast_rank=64&RID=UZ861F0W016"",""WP_252107792.1"")"
MULTISPECIES: minor capsid protein [Enterobacter cloacae complex],Enterobacter cloacae complex,210,257,99%,4e-67,97.12,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_232930253.1?report=genbank&log$=prottop&blast_rank=65&RID=UZ861F0W016"",""WP_232930253.1"")"
minor capsid protein [Escherichia coli],Escherichia coli,209,255,99%,4e-67,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HID3233564.1?report=genbank&log$=prottop&blast_rank=66&RID=UZ861F0W016"",""HID3233564.1"")"
minor capsid protein [Salmonella enterica subsp. enterica serovar Newport],Salmonella enterica subsp. enterica serovar Newport,209,257,99%,5e-67,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EPM9307184.1?report=genbank&log$=prottop&blast_rank=67&RID=UZ861F0W016"",""EPM9307184.1"")"
minor capsid protein [Salmonella enterica subsp. enterica serovar Paratyphi A],Salmonella enterica subsp. enterica serovar Paratyphi A,209,209,81%,5e-67,97.12,108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGJ2648767.1?report=genbank&log$=prottop&blast_rank=68&RID=UZ861F0W016"",""MGJ2648767.1"")"
minor capsid protein [Escherichia coli],Escherichia coli,209,255,99%,5e-67,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFI8999674.1?report=genbank&log$=prottop&blast_rank=69&RID=UZ861F0W016"",""HFI8999674.1"")"
hypothetical protein [Salmonella enterica],Salmonella enterica,209,256,99%,6e-67,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAX8183383.1?report=genbank&log$=prottop&blast_rank=70&RID=UZ861F0W016"",""EAX8183383.1"")"
hypothetical protein [Escherichia coli],Escherichia coli,209,255,99%,6e-67,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFN6161262.1?report=genbank&log$=prottop&blast_rank=71&RID=UZ861F0W016"",""EFN6161262.1"")"
minor capsid protein [Escherichia coli],Escherichia coli,209,255,99%,6e-67,96.15,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFX0972563.1?report=genbank&log$=prottop&blast_rank=72&RID=UZ861F0W016"",""MFX0972563.1"")"
hypothetical protein [Salmonella enterica],Salmonella enterica,209,256,97%,6e-67,98.04,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAQ9547968.1?report=genbank&log$=prottop&blast_rank=73&RID=UZ861F0W016"",""EAQ9547968.1"")"
"minor capsid protein, partial [Escherichia coli]",Escherichia coli,208,208,80%,7e-67,98.06,103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_159194770.1?report=genbank&log$=prottop&blast_rank=74&RID=UZ861F0W016"",""WP_159194770.1"")"
minor capsid protein [Enterobacter hormaechei],Enterobacter hormaechei,209,254,99%,1e-66,95.19,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_308982287.1?report=genbank&log$=prottop&blast_rank=75&RID=UZ861F0W016"",""WP_308982287.1"")"
MULTISPECIES: minor capsid protein [Enterobacteriaceae],Enterobacteriaceae,208,254,99%,1e-66,95.19,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_180208680.1?report=genbank&log$=prottop&blast_rank=76&RID=UZ861F0W016"",""WP_180208680.1"")"
minor capsid protein [Salmonella enterica],Salmonella enterica,208,253,99%,2e-66,95.19,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_437159171.1?report=genbank&log$=prottop&blast_rank=77&RID=UZ861F0W016"",""WP_437159171.1"")"
minor capsid protein [Enterobacter hormaechei],Enterobacter hormaechei,207,253,99%,2e-66,95.19,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_252056004.1?report=genbank&log$=prottop&blast_rank=78&RID=UZ861F0W016"",""WP_252056004.1"")"
MULTISPECIES: minor capsid protein [Cronobacter],Cronobacter,207,253,99%,2e-66,95.19,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_104659094.1?report=genbank&log$=prottop&blast_rank=79&RID=UZ861F0W016"",""WP_104659094.1"")"
hypothetical protein [Escherichia coli],Escherichia coli,207,253,97%,3e-66,98.02,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFB6865420.1?report=genbank&log$=prottop&blast_rank=80&RID=UZ861F0W016"",""EFB6865420.1"")"
"minor capsid protein, partial [Enterobacter hormaechei]",Enterobacter hormaechei,207,254,97%,3e-66,98.02,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_174411823.1?report=genbank&log$=prottop&blast_rank=81&RID=UZ861F0W016"",""WP_174411823.1"")"
hypothetical protein [Escherichia coli],Escherichia coli,207,253,97%,4e-66,97.06,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HAV9714019.1?report=genbank&log$=prottop&blast_rank=82&RID=UZ861F0W016"",""HAV9714019.1"")"
hypothetical protein [Salmonella enterica subsp. enterica],Salmonella enterica subsp. enterica,207,254,99%,4e-66,95.19,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDW0215641.1?report=genbank&log$=prottop&blast_rank=83&RID=UZ861F0W016"",""EDW0215641.1"")"
hypothetical protein [Salmonella enterica subsp. enterica serovar Oslo],Salmonella enterica subsp. enterica serovar Oslo,207,253,99%,6e-66,94.23,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDQ0380805.1?report=genbank&log$=prottop&blast_rank=84&RID=UZ861F0W016"",""EDQ0380805.1"")"
minor capsid protein [Cronobacter muytjensii],Cronobacter muytjensii,206,252,99%,9e-66,94.23,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_175569936.1?report=genbank&log$=prottop&blast_rank=85&RID=UZ861F0W016"",""WP_175569936.1"")"
minor capsid protein [Cronobacter sakazakii],Cronobacter sakazakii,206,252,99%,1e-65,95.19,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_080787300.1?report=genbank&log$=prottop&blast_rank=86&RID=UZ861F0W016"",""WP_080787300.1"")"
minor capsid protein [Enterobacter kobei],Enterobacter kobei,206,251,99%,1e-65,94.23,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_274418975.1?report=genbank&log$=prottop&blast_rank=87&RID=UZ861F0W016"",""WP_274418975.1"")"
hypothetical protein [Escherichia coli],Escherichia coli,205,251,97%,2e-65,97.03,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EIH0800060.1?report=genbank&log$=prottop&blast_rank=88&RID=UZ861F0W016"",""EIH0800060.1"")"
hypothetical protein [Salmonella enterica subsp. enterica serovar Typhimurium],Salmonella enterica subsp. enterica serovar Typhimurium,205,252,96%,3e-65,98.00,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFS3736164.1?report=genbank&log$=prottop&blast_rank=89&RID=UZ861F0W016"",""EFS3736164.1"")"
hypothetical protein [Escherichia coli],Escherichia coli,205,251,96%,3e-65,98.00,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFH5544524.1?report=genbank&log$=prottop&blast_rank=90&RID=UZ861F0W016"",""EFH5544524.1"")"
minor capsid protein [Enterobacter hormaechei],Enterobacter hormaechei,204,204,81%,5e-65,95.19,111,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_437251830.1?report=genbank&log$=prottop&blast_rank=91&RID=UZ861F0W016"",""WP_437251830.1"")"
Uncharacterised protein [Enterobacter hormaechei],Enterobacter hormaechei,203,203,79%,6e-65,98.02,101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SAA63938.1?report=genbank&log$=prottop&blast_rank=92&RID=UZ861F0W016"",""SAA63938.1"")"
hypothetical protein [Salmonella enterica subsp. enterica serovar Mbandaka],Salmonella enterica subsp. enterica serovar Mbandaka,204,249,97%,9e-65,96.04,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EGO3246516.1?report=genbank&log$=prottop&blast_rank=93&RID=UZ861F0W016"",""EGO3246516.1"")"
hypothetical protein [Salmonella enterica],Salmonella enterica,202,249,95%,2e-64,97.98,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCJ4682213.1?report=genbank&log$=prottop&blast_rank=94&RID=UZ861F0W016"",""HCJ4682213.1"")"
hypothetical protein [Salmonella enterica],Salmonella enterica,201,248,94%,7e-64,97.96,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EJP2201153.1?report=genbank&log$=prottop&blast_rank=95&RID=UZ861F0W016"",""EJP2201153.1"")"
hypothetical protein [Klebsiella pneumoniae],Klebsiella pneumoniae,201,248,94%,9e-64,97.96,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBY0899196.1?report=genbank&log$=prottop&blast_rank=96&RID=UZ861F0W016"",""HBY0899196.1"")"
hypothetical protein [Salmonella enterica],Salmonella enterica,200,246,99%,2e-63,86.54,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EBC2961015.1?report=genbank&log$=prottop&blast_rank=97&RID=UZ861F0W016"",""EBC2961015.1"")"
"minor capsid protein, partial [Enterobacter hormaechei]",Enterobacter hormaechei,199,246,94%,6e-63,97.94,120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096202043.1?report=genbank&log$=prottop&blast_rank=98&RID=UZ861F0W016"",""WP_096202043.1"")"
hypothetical protein [Escherichia coli],Escherichia coli,199,244,94%,7e-63,97.94,120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EHX5864420.1?report=genbank&log$=prottop&blast_rank=99&RID=UZ861F0W016"",""EHX5864420.1"")"
